CHAIN,STABLECOIN_ID,SYMBOL
algorand,1,USDT
algorand,2,USDC
aptos,2,USDC
aptos,1,USDT
arbitrum,2,USDC
arbitrum,1,USDT
astar,2,USDC
astar,1,USDT
aurora,1,USDT
aurora,2,USDC
avalanche,1,USDT
avalanche,2,USDC
berachain,2,USDC
berachain,1,USDT
binance,1,USDT
binance,2,USDC
bittorrent,1,USDT
boba,2,USDC
boba,1,USDT
canto,2,USDC
canto,1,USDT
celo,1,USDT
celo,2,USDC
crab,1,USDT
crab,2,USDC
defichain,2,USDC
defichain,1,USDT
dogechain,1,USDT
dogechain,2,USDC
elrond,2,USDC
elrond,1,USDT
eos,1,USDT
ethereum,1,USDT
ethereum,2,USDC
ethereumclassic,2,USDC
ethereumclassic,1,USDT
everscale,1,USDT
everscale,2,USDC
evmos,1,USDT
evmos,2,USDC
fantom,1,USDT
fantom,2,USDC
fuse,1,USDT
fuse,2,USDC
harmony,1,USDT
heco,1,USDT
icp,1,USDT
icp,2,USDC
injective,1,USDT
injective,2,USDC
ink,2,USDC
ink,1,USDT
iotex,1,USDT
iotex,2,USDC
kardia,2,USDC
kardia,1,USDT
kava,1,USDT
kava,2,USDC
klaytn,1,USDT
klaytn,2,USDC
kucoin,2,USDC
kucoin,1,USDT
kusama,1,USDT
linea,1,USDT
linea,2,USDC
manta,2,USDC
manta,1,USDT
mantle,2,USDC
mantle,1,USDT
meter,2,USDC
meter,1,USDT
metis,1,USDT
metis,2,USDC
mixin,1,USDT
mixin,2,USDC
mode,1,USDT
mode,2,USDC
moonbeam,2,USDC
moonbeam,1,USDT
moonriver,1,USDT
moonriver,2,USDC
morph,1,USDT
morph,2,USDC
near,1,USDT
near,2,USDC
neo,1,USDT
oasis,2,USDC
oasis,1,USDT
okexchain,1,USDT
okexchain,2,USDC
ontology,1,USDT
optimism,2,USDC
optimism,1,USDT
osmosis,2,USDC
osmosis,1,USDT
polkadot,2,USDC
polkadot,1,USDT
pulse,1,USDT
pulse,2,USDC
pulsechain,1,USDT
pulsechain,2,USDC
rsk,1,USDT
rsk,2,USDC
scroll,1,USDT
scroll,2,USDC
sei,1,USDT
sei,2,USDC
shiden,1,USDT
solana,2,USDC
solana,1,USDT
stacks,1,USDT
starknet,2,USDC
starknet,1,USDT
sui,2,USDC
sui,1,USDT
sxnetwork,2,USDC
sxnetwork,1,USDT
syscoin,2,USDC
syscoin,1,USDT
taiko,2,USDC
taiko,1,USDT
telos,2,USDC
telos,1,USDT
terra,1,USDT
terra,2,USDC
tezos,1,USDT
theta,1,USDT
theta,2,USDC
thundercore,2,USDC
thundercore,1,USDT
tomochain,2,USDC
tomochain,1,USDT
ton,1,USDT
tron,2,USDC
tron,1,USDT
wanchain,2,USDC
wanchain,1,USDT
waves,1,USDT
waves,2,USDC
xdai,1,USDT
xdai,2,USDC
zilliqa,1,USDT
zircuit,2,USDC
zircuit,1,USDT